;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
26.08.2024;14:58:01;24,2;24,0;23,9;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;73,6;40;45;-100,0;0,0;0,00;-0,439;300;0
26.08.2024;14:58:11;24,2;24,0;23,9;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;74,6;40;45;-100,0;0,0;0,00;-0,439;300;0
26.08.2024;14:58:22;24,2;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;73,5;40;45;-100,0;0,0;0,00;-0,439;300;0
26.08.2024;14:58:32;24,2;24,0;23,9;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;74,1;40;45;-100,0;0,0;0,00;-0,436;300;0
26.08.2024;14:58:42;24,2;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,2;74,5;40;45;-100,0;0,0;0,00;-0,439;300;0
26.08.2024;14:58:52;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;73,7;40;45;-100,0;0,0;0,00;-0,439;300;0
26.08.2024;14:59:02;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,2;74,9;40;45;-144,8;28,3;0,00;-0,436;300;0
26.08.2024;14:59:12;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,2;73,5;40;45;-189,9;28,4;7,75;-0,434;300;0
26.08.2024;14:59:22;24,2;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;73,5;40;45;-189,9;28,4;7,46;-0,442;300;0
26.08.2024;14:59:32;24,2;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,2;73,8;40;45;-189,9;28,4;7,49;-0,434;300;0
26.08.2024;14:59:42;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;73,4;40;45;-190,0;28,4;7,50;-0,436;300;0
26.08.2024;14:59:52;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,0;25,3;74,2;40;45;-190,0;28,4;7,51;-0,439;300;0
26.08.2024;15:00:02;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,1;25,3;73,8;40;45;-190,0;28,4;7,47;-0,439;300;0
26.08.2024;15:00:12;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,1;25,3;73,5;40;45;-189,7;28,4;7,46;-0,436;300;0
26.08.2024;15:00:22;24,2;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,1;25,2;73,7;40;45;-190,0;28,4;7,47;-0,436;300;0
26.08.2024;15:00:33;24,3;24,0;24,0;23,7;24,1;23,8;24,2;24,1;24,3;23,1;25,3;73,7;40;45;-189,9;28,4;7,52;-0,445;300;0
