;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
03.09.2024;09:47:47;27,6;27,6;27,6;27,5;27,5;27,2;27,5;28,9;28,8;24,0;26,3;71,0;40;45;-142,4;35,8;0,00;-0,523;500;0
03.09.2024;09:47:57;27,7;27,7;27,7;27,4;27,6;27,1;27,6;28,9;28,9;24,0;26,3;69,0;40;45;-142,5;35,8;0,00;-0,529;500;0
03.09.2024;09:48:07;27,8;27,7;27,7;27,3;27,6;27,1;27,6;28,9;28,9;24,0;26,3;70,7;40;45;-142,4;35,8;0,00;-0,523;500;0
03.09.2024;09:48:17;27,7;27,7;27,8;27,4;27,7;27,0;27,7;28,9;28,8;24,0;26,3;70,4;40;45;-142,4;35,8;0,00;-0,523;500;0
03.09.2024;09:48:27;27,6;27,7;27,8;27,4;27,7;27,0;27,7;28,9;28,9;24,0;26,3;73,3;40;45;-142,4;35,8;0,00;-0,454;500;0
03.09.2024;09:48:37;27,5;27,6;27,7;27,5;27,8;26,9;27,7;28,9;28,9;24,0;26,3;72,8;40;45;-142,4;35,8;0,00;-0,454;500;0
03.09.2024;09:48:47;27,5;27,5;27,7;27,5;27,7;26,9;27,7;28,9;28,9;24,0;26,4;73,1;40;45;-138,3;35,8;6,12;-0,448;500;0
03.09.2024;09:48:57;27,4;27,4;27,6;27,6;27,7;26,9;27,7;28,9;28,8;23,9;26,4;73,5;40;45;-149,3;35,8;4,41;-0,454;500;0
03.09.2024;09:49:07;27,4;27,4;27,6;27,6;27,7;26,9;27,6;28,9;28,8;24,0;26,4;72,8;40;45;-146,8;35,8;5,02;-0,457;500;0
03.09.2024;09:49:17;27,4;27,3;27,5;27,7;27,6;26,9;27,5;28,9;28,9;24,0;26,4;73,1;40;45;-145,6;35,8;4,96;-0,454;500;0
03.09.2024;09:49:27;27,4;27,4;27,4;27,7;27,6;27,0;27,5;28,9;28,9;24,0;26,4;73,3;40;45;-147,4;35,8;5,02;-0,454;500;0
03.09.2024;09:49:37;27,5;27,5;27,4;27,7;27,5;27,0;27,4;28,9;28,8;24,0;26,4;73,2;40;45;-141,9;35,8;5,05;-0,451;500;0
03.09.2024;09:49:47;27,6;27,6;27,3;27,7;27,5;27,1;27,4;28,9;28,9;24,0;26,4;73,2;40;45;-146,3;35,8;5,02;-0,454;500;0
03.09.2024;09:49:58;27,7;27,7;27,3;27,7;27,4;27,1;27,4;28,9;28,9;24,0;26,4;73,4;40;45;-137,7;35,8;5,06;-0,460;500;0
03.09.2024;09:50:08;27,7;27,7;27,4;27,6;27,4;27,2;27,4;28,8;28,9;24,0;26,4;73,5;40;45;-138,4;35,8;4,98;-0,457;500;0
03.09.2024;09:50:18;27,7;27,7;27,4;27,5;27,4;27,2;27,4;28,9;28,8;24,0;26,4;73,1;40;45;-142,1;35,8;5,00;-0,460;500;0
03.09.2024;09:50:28;27,6;27,6;27,5;27,5;27,4;27,3;27,5;28,9;28,9;24,0;26,4;73,1;40;45;-148,5;35,8;5,00;-0,454;500;0
03.09.2024;09:50:38;27,6;27,6;27,6;27,4;27,4;27,3;27,6;28,9;28,9;24,0;26,4;73,2;40;45;-148,4;35,8;4,98;-0,454;500;0
03.09.2024;09:50:48;27,5;27,5;27,7;27,4;27,5;27,4;27,6;28,9;28,8;24,0;26,4;73,0;40;45;-142,4;35,8;5,03;-0,454;500;0
03.09.2024;09:50:58;27,4;27,4;27,8;27,4;27,5;27,3;27,6;28,9;28,8;24,0;26,4;73,0;40;45;-144,5;35,8;5,01;-0,454;500;0
03.09.2024;09:51:08;27,4;27,4;27,8;27,4;27,6;27,3;27,7;28,9;29,0;23,9;26,4;72,7;40;45;-138,8;35,8;4,96;-0,454;500;0
03.09.2024;09:51:18;27,4;27,4;27,7;27,5;27,6;27,2;27,8;28,9;28,9;23,7;26,4;73,1;40;45;-140,4;35,8;5,00;-0,460;500;0
03.09.2024;09:51:28;27,4;27,5;27,7;27,6;27,7;27,2;27,7;28,9;28,8;23,7;26,4;73,5;40;45;-137,6;35,8;4,97;-0,454;500;0
03.09.2024;09:51:38;27,4;27,6;27,6;27,6;27,7;27,1;27,6;28,9;28,9;23,7;26,4;72,6;40;45;-130,1;35,8;5,01;-0,457;500;0
03.09.2024;09:51:48;27,4;27,7;27,6;27,7;27,8;27,1;27,6;28,9;28,9;23,7;26,4;73,1;40;45;-148,1;35,8;5,01;-0,457;500;0
03.09.2024;09:51:58;27,4;27,7;27,5;27,7;27,7;27,0;27,5;28,8;28,8;23,7;26,4;73,2;40;45;-143,8;35,7;4,99;-0,454;500;0
03.09.2024;09:52:08;27,4;27,7;27,4;27,8;27,7;27,0;27,5;28,9;28,9;23,7;26,4;72,4;40;45;-145,3;35,7;5,02;-0,457;500;0
03.09.2024;09:52:18;27,3;27,6;27,4;27,7;27,7;26,9;27,4;28,9;28,9;23,7;26,4;73,4;40;45;-141,6;35,7;5,01;-0,460;500;0
03.09.2024;09:52:29;27,3;27,6;27,4;27,6;27,6;26,9;27,4;28,9;28,9;23,7;26,4;73,1;40;45;-127,5;35,8;4,98;-0,454;500;0
03.09.2024;09:52:39;27,3;27,5;27,3;27,5;27,6;26,9;27,3;28,9;28,8;23,7;26,4;72,6;40;45;-145,1;35,8;4,99;-0,454;500;0
03.09.2024;09:52:49;27,2;27,4;27,4;27,5;27,5;26,9;27,4;28,9;28,9;23,7;26,4;73,2;40;45;-146,0;35,8;5,00;-0,454;500;0
03.09.2024;09:52:59;27,2;27,4;27,4;27,4;27,5;26,9;27,5;28,9;28,9;23,7;26,4;73,0;40;45;-146,3;35,8;5,01;-0,451;500;0
03.09.2024;09:53:09;27,1;27,4;27,5;27,4;27,4;27,0;27,5;28,9;28,8;23,7;26,4;73,0;40;45;-144,8;35,8;5,00;-0,454;500;0
03.09.2024;09:53:19;27,1;27,4;27,6;27,3;27,4;27,0;27,6;28,9;28,8;23,7;26,4;72,8;40;45;-137,7;35,8;5,04;-0,448;500;0
03.09.2024;09:53:29;27,0;27,5;27,7;27,4;27,3;27,1;27,6;28,9;28,9;23,7;26,4;72,6;40;45;-145,6;35,8;4,95;-0,454;500;0
03.09.2024;09:53:39;27,0;27,6;27,7;27,5;27,4;27,1;27,7;28,9;28,9;23,7;26,4;72,7;40;45;-146,8;35,8;4,98;-0,454;500;0
03.09.2024;09:53:49;26,9;27,6;27,8;27,5;27,4;27,2;27,7;28,9;28,8;23,7;26,4;72,7;40;45;-98,5;35,8;5,00;-0,454;500;0
03.09.2024;09:53:59;26,9;27,7;27,8;27,6;27,4;27,2;27,7;28,9;28,8;23,7;26,4;73,4;40;45;-141,1;35,8;4,99;-0,457;500;0
03.09.2024;09:54:09;26,9;27,7;27,7;27,6;27,5;27,3;27,7;28,9;28,9;23,7;26,4;72,3;40;45;-129,0;35,8;4,99;-0,457;500;0
03.09.2024;09:54:19;26,8;27,7;27,7;27,6;27,6;27,3;27,7;28,9;28,8;23,7;26,4;72,6;40;45;-123,6;35,8;4,96;-0,451;500;0
