;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
03.09.2024;14:50:11;27,7;27,5;27,7;27,6;27,4;27,3;27,6;28,9;28,8;23,7;26,1;71,8;40;45;-140,8;0,0;0,00;-0,486;500;0
03.09.2024;14:50:21;27,7;27,4;27,6;27,6;27,4;27,3;27,7;28,9;28,8;23,7;26,1;72,7;40;45;-140,9;0,0;2,78;-0,457;500;0
03.09.2024;14:50:31;27,7;27,4;27,5;27,7;27,4;27,2;27,7;29,0;28,9;23,6;26,1;73,2;40;45;-146,0;0,0;2,51;-0,457;500;0
03.09.2024;14:50:41;27,6;27,4;27,4;27,7;27,5;27,2;27,7;28,9;28,9;23,7;26,1;72,5;40;45;-144,2;0,0;2,50;-0,460;500;0
03.09.2024;14:50:51;27,5;27,5;27,4;27,7;27,5;27,1;27,7;28,8;28,8;23,6;26,1;73,1;40;45;-140,9;0,0;2,49;-0,451;500;0
03.09.2024;14:51:02;27,4;27,6;27,3;27,7;27,6;27,1;27,7;28,8;28,8;23,7;26,1;71,7;40;45;-141,9;0,0;2,51;-0,457;500;0
03.09.2024;14:51:12;27,4;27,7;27,3;27,7;27,6;27,0;27,6;28,9;28,9;23,6;26,1;72,3;40;45;-147,5;0,0;2,53;-0,457;500;0
03.09.2024;14:51:22;27,3;27,7;27,4;27,6;27,7;27,0;27,5;28,9;28,9;23,7;26,1;72,5;40;45;-145,7;0,0;2,48;-0,460;500;0
03.09.2024;14:51:32;27,4;27,7;27,4;27,5;27,7;26,9;27,4;29,0;28,8;23,7;26,2;73,2;40;45;-144,0;0,0;2,49;-0,457;500;0
03.09.2024;14:51:42;27,5;27,7;27,5;27,5;27,7;26,9;27,4;28,9;28,9;23,7;26,2;72,7;40;45;-145,8;0,0;2,52;-0,454;500;0
03.09.2024;14:51:52;27,6;27,6;27,6;27,4;27,7;26,8;27,4;28,8;28,9;23,7;26,2;73,2;40;45;-144,5;0,0;2,51;-0,460;500;0
03.09.2024;14:52:02;27,7;27,5;27,7;27,4;27,7;26,9;27,4;28,9;28,8;23,7;26,2;72,7;40;45;-139,2;0,0;2,49;-0,457;500;0
03.09.2024;14:52:12;27,7;27,4;27,7;27,4;27,7;26,9;27,4;28,9;28,9;23,6;26,2;72,7;40;45;-145,8;0,0;2,53;-0,457;500;0
03.09.2024;14:52:22;27,7;27,4;27,8;27,4;27,6;27,0;27,5;28,9;28,9;23,6;26,2;72,1;40;45;-142,3;0,0;2,50;-0,460;500;0
03.09.2024;14:52:32;27,7;27,4;27,8;27,5;27,6;27,0;27,6;28,9;28,8;23,7;26,2;72,5;40;45;-138,8;0,0;2,53;-0,457;500;0
03.09.2024;14:52:42;27,6;27,5;27,7;27,5;27,5;27,1;27,6;28,9;28,8;23,6;26,2;72,5;40;45;-145,0;0,0;2,49;-0,460;500;0
03.09.2024;14:52:52;27,5;27,6;27,7;27,6;27,4;27,1;27,7;28,8;28,9;23,7;26,2;73,0;40;45;-144,8;0,0;2,52;-0,454;500;0
03.09.2024;14:53:02;27,4;27,7;27,6;27,6;27,4;27,2;27,7;28,9;28,9;23,7;26,2;72,3;40;45;-145,3;0,0;2,50;-0,457;500;0
03.09.2024;14:53:13;27,3;27,7;27,5;27,7;27,4;27,2;27,7;28,9;28,8;23,7;26,2;72,2;40;45;-142,7;0,0;2,50;-0,457;500;0
03.09.2024;14:53:23;27,4;27,7;27,4;27,7;27,3;27,2;27,7;28,9;28,8;23,5;26,2;72,7;40;45;-144,0;0,0;2,52;-0,460;500;0
03.09.2024;14:53:33;27,5;27,7;27,4;27,7;27,4;27,3;27,6;28,9;28,9;23,5;26,2;72,5;40;45;-141,6;0,0;2,51;-0,457;500;0
03.09.2024;14:53:43;27,6;27,6;27,3;27,7;27,4;27,4;27,6;28,9;28,8;23,5;26,2;72,6;40;45;-146,6;0,0;2,51;-0,454;500;0
03.09.2024;14:53:53;27,6;27,5;27,3;27,7;27,4;27,3;27,5;28,9;28,8;23,5;26,2;72,6;40;45;-145,6;0,0;2,50;-0,457;500;0
03.09.2024;14:54:03;27,7;27,4;27,4;27,6;27,5;27,2;27,4;28,9;28,9;23,5;26,2;72,3;40;45;-145,5;0,0;2,47;-0,460;500;0
03.09.2024;14:54:13;27,7;27,4;27,4;27,5;27,5;27,2;27,4;28,8;28,9;23,4;26,2;73,0;40;45;-146,3;0,0;2,51;-0,454;500;0
03.09.2024;14:54:23;27,7;27,4;27,5;27,5;27,6;27,2;27,4;28,9;28,8;23,4;26,2;72,6;40;45;-145,1;0,0;2,54;-0,454;500;0
03.09.2024;14:54:33;27,6;27,4;27,6;27,4;27,6;27,1;27,4;28,9;28,9;23,4;26,2;72,4;40;45;-145,6;0,0;2,50;-0,454;500;0
03.09.2024;14:54:43;27,4;27,5;27,7;27,4;27,7;27,1;27,4;28,8;28,9;23,4;26,2;72,2;40;45;-147,4;0,0;2,51;-0,457;500;0
03.09.2024;14:54:53;27,3;27,6;27,7;27,4;27,7;27,0;27,5;28,9;28,8;23,4;26,2;72,4;40;45;-143,7;0,0;2,49;-0,457;500;0
03.09.2024;14:55:03;27,3;27,7;27,8;27,4;27,8;27,0;27,6;28,9;28,8;23,4;26,2;72,4;40;45;-144,2;0,0;2,48;-0,457;500;0
03.09.2024;14:55:13;27,4;27,7;27,8;27,5;27,7;26,9;27,7;28,9;28,9;23,4;26,2;72,5;40;45;-145,1;0,0;2,53;-0,457;500;0
03.09.2024;14:55:24;27,3;27,7;27,7;27,5;27,7;26,9;27,7;28,9;28,9;23,4;26,2;72,8;40;45;-146,4;0,0;2,51;-0,457;500;0
03.09.2024;14:55:34;27,3;27,6;27,7;27,6;27,7;26,8;27,7;28,9;28,8;23,4;26,2;72,1;40;45;-145,6;0,0;2,51;-0,457;500;0
03.09.2024;14:55:44;27,3;27,5;27,6;27,6;27,6;26,9;27,7;28,9;28,9;23,4;26,2;71,3;40;45;-139,7;0,0;2,53;-0,454;500;0
03.09.2024;14:55:54;27,3;27,4;27,5;27,7;27,6;26,9;27,7;28,9;28,9;23,4;26,2;72,4;40;45;-144,5;0,0;2,48;-0,457;500;0
03.09.2024;14:56:04;27,3;27,4;27,5;27,7;27,5;27,0;27,6;28,9;28,8;23,4;26,2;72,5;40;45;-143,8;0,0;2,50;-0,454;500;0
03.09.2024;14:56:14;27,3;27,4;27,4;27,7;27,4;27,0;27,6;28,8;28,8;23,4;26,2;72,3;40;45;-143,7;0,0;2,50;-0,451;500;0
03.09.2024;14:56:24;27,3;27,4;27,4;27,7;27,4;27,1;27,5;28,9;28,9;23,4;26,2;72,3;40;45;-147,0;0,0;2,46;-0,457;500;0
03.09.2024;14:56:34;27,2;27,5;27,3;27,6;27,4;27,2;27,4;28,9;28,9;23,4;26,3;72,5;40;45;-145,0;0,0;2,51;-0,457;500;0
03.09.2024;14:56:44;27,2;27,6;27,4;27,6;27,4;27,2;27,4;28,9;28,8;23,4;26,3;72,4;40;45;-145,5;0,0;2,47;-0,457;500;0
03.09.2024;14:56:54;27,2;27,7;27,4;27,5;27,4;27,2;27,3;28,9;28,9;23,4;26,3;72,3;40;45;-149,3;0,0;2,52;-0,454;500;0
03.09.2024;14:57:04;27,2;27,7;27,5;27,4;27,4;27,3;27,4;28,9;28,9;23,4;26,3;72,2;40;45;-141,6;0,0;2,48;-0,457;500;0
03.09.2024;14:57:14;27,2;27,6;27,6;27,4;27,5;27,3;27,5;28,9;28,8;23,4;26,3;72,4;40;45;-143,7;0,0;2,49;-0,454;500;0
03.09.2024;14:57:24;27,2;27,6;27,7;27,4;27,5;27,3;27,5;28,9;28,9;23,4;26,3;72,1;40;45;-145,2;0,0;2,51;-0,454;500;0
03.09.2024;14:57:34;27,1;27,5;27,7;27,4;27,6;27,3;27,6;28,9;28,9;23,4;26,2;72,7;40;45;-148,0;0,0;2,51;-0,451;500;0
03.09.2024;14:57:44;27,1;27,4;27,8;27,5;27,6;27,2;27,7;28,9;28,8;23,4;26,3;72,3;40;45;-146,3;0,0;2,46;-0,451;500;0
03.09.2024;14:57:54;27,1;27,4;27,8;27,5;27,7;27,2;27,7;28,9;28,8;23,4;26,3;72,7;40;45;-147,4;0,0;2,51;-0,454;500;0
03.09.2024;14:58:05;27,0;27,4;27,7;27,5;27,7;27,1;27,7;28,9;28,9;23,4;26,3;72,5;40;45;-140,1;0,0;2,50;-0,448;500;0
03.09.2024;14:58:15;27,0;27,5;27,7;27,6;27,7;27,1;27,7;28,9;28,9;23,4;26,3;72,0;40;45;-147,6;0,0;2,48;-0,451;500;0
03.09.2024;14:58:25;26,9;27,6;27,6;27,6;27,8;27,0;27,7;28,9;28,8;23,4;26,3;72,1;40;45;-146,6;0,0;2,51;-0,454;500;0
03.09.2024;14:58:35;26,9;27,7;27,5;27,7;27,7;27,0;27,7;28,8;28,9;23,4;26,3;72,5;40;45;-144,5;0,0;2,48;-0,457;500;0
03.09.2024;14:58:45;26,9;27,7;27,5;27,7;27,7;26,9;27,6;28,9;28,9;23,4;26,3;72,1;40;45;-144,5;0,0;2,49;-0,457;500;0
03.09.2024;14:58:55;26,9;27,7;27,4;27,7;27,6;26,9;27,5;29,0;28,9;23,4;26,3;72,0;40;45;-144,4;0,0;2,51;-0,451;500;0
03.09.2024;14:59:05;26,9;27,7;27,4;27,7;27,6;26,9;27,5;29,0;28,8;23,4;26,3;71,7;40;45;-147,6;0,0;2,44;-0,454;500;0
03.09.2024;14:59:15;26,8;27,5;27,3;27,7;27,5;26,9;27,4;28,9;28,9;23,4;26,3;72,1;40;45;-145,5;0,0;2,54;-0,454;500;0
03.09.2024;14:59:25;26,8;27,4;27,4;27,6;27,5;26,9;27,4;28,8;28,9;23,4;26,3;71,7;40;45;-148,2;0,0;2,50;-0,451;500;0
03.09.2024;14:59:35;26,8;27,4;27,4;27,5;27,4;27,0;27,4;28,8;28,8;23,4;26,3;71,5;40;45;-145,3;0,0;2,51;-0,454;500;0
03.09.2024;14:59:45;26,8;27,4;27,5;27,5;27,4;27,0;27,4;28,9;28,8;23,4;26,3;72,1;40;45;-147,3;0,0;2,51;-0,457;500;0
03.09.2024;14:59:55;26,8;27,4;27,6;27,4;27,3;27,1;27,5;28,8;28,9;23,4;26,3;72,4;40;45;-144,9;0,0;2,51;-0,457;500;0
03.09.2024;15:00:05;26,8;27,5;27,7;27,4;27,4;27,1;27,5;28,9;28,9;23,4;26,3;72,1;40;45;-144,9;0,0;2,51;-0,457;500;0
03.09.2024;15:00:16;26,8;27,5;27,7;27,4;27,4;27,2;27,6;28,9;28,8;23,4;26,3;72,4;40;45;-147,0;0,0;2,54;-0,457;500;0
03.09.2024;15:00:26;26,8;27,6;27,8;27,4;27,4;27,2;27,6;28,9;28,8;23,4;26,3;72,0;40;45;-103,1;0,0;2,51;-0,454;500;0
03.09.2024;15:00:36;26,7;27,6;27,8;27,5;27,5;27,3;27,7;28,9;29,0;23,4;26,3;71,6;40;45;-81,1;0,0;2,51;-0,454;500;0
03.09.2024;15:00:46;26,7;27,6;27,7;27,5;27,5;27,3;27,7;28,9;28,9;23,4;26,3;72,3;40;45;-137,2;0,0;2,51;-0,454;500;0
03.09.2024;15:00:56;26,7;27,7;27,7;27,6;27,6;27,3;27,7;28,9;28,7;23,4;26,3;72,3;40;45;-137,7;0,0;2,54;-0,457;500;0
03.09.2024;15:01:06;26,7;27,7;27,6;27,6;27,6;27,3;27,7;28,9;28,8;23,4;26,3;72,5;40;45;-141,3;0,0;2,51;-0,457;500;0
03.09.2024;15:01:16;26,7;27,7;27,6;27,7;27,7;27,2;27,6;28,9;29,0;23,4;26,3;72,3;40;45;-124,7;0,0;2,51;-0,454;500;0
03.09.2024;15:01:26;26,7;27,7;27,5;27,7;27,7;27,2;27,6;28,9;29,0;23,4;26,3;72,4;40;45;-132,1;0,0;2,49;-0,454;500;0
03.09.2024;15:01:36;26,7;27,7;27,4;27,7;27,7;27,1;27,5;28,9;28,8;23,4;26,3;71,7;40;45;-111,9;0,0;2,52;-0,454;500;0
03.09.2024;15:01:46;26,6;27,7;27,4;27,7;27,7;27,1;27,5;28,9;28,7;23,4;26,3;69,6;40;45;-134,0;0,0;2,49;-0,526;500;0
03.09.2024;15:01:56;26,6;27,7;27,3;27,6;27,7;27,0;27,4;28,9;29,0;23,4;26,3;68,8;40;45;-140,3;0,0;2,48;-0,523;500;0
03.09.2024;15:02:06;26,6;27,7;27,4;27,6;27,7;27,0;27,4;28,9;29,0;23,4;26,3;68,5;40;45;-138,1;0,0;2,51;-0,526;500;0
03.09.2024;15:02:16;26,6;27,7;27,4;27,5;27,6;26,9;27,4;28,9;28,7;23,4;26,2;68,7;40;45;-143,4;0,0;2,49;-0,523;500;0
03.09.2024;15:02:26;26,6;27,7;27,5;27,4;27,6;26,9;27,4;28,9;28,7;23,5;26,2;68,9;40;45;-145,0;0,0;2,52;-0,523;500;0
03.09.2024;15:02:36;26,6;27,7;27,5;27,4;27,5;26,9;27,5;28,9;29,0;23,5;26,2;70,0;40;45;-141,4;0,0;2,50;-0,526;500;0
03.09.2024;15:02:47;26,6;27,7;27,6;27,4;27,5;26,9;27,5;28,9;29,0;23,7;26,2;69,4;40;45;-145,7;0,0;2,51;-0,523;500;0
03.09.2024;15:02:57;26,6;27,6;27,7;27,4;27,4;26,9;27,6;28,9;28,7;23,7;26,2;69,9;40;45;-141,9;0,0;2,48;-0,523;500;0
03.09.2024;15:03:07;26,6;27,4;27,7;27,5;27,4;27,0;27,6;28,9;28,8;23,7;26,2;70,1;40;45;-138,8;0,0;2,51;-0,526;500;0
03.09.2024;15:03:17;26,6;27,3;27,8;27,5;27,3;27,0;27,7;28,9;29,0;23,7;26,2;69,0;40;45;-140,3;0,0;2,49;-0,526;500;0
03.09.2024;15:03:27;26,6;27,4;27,7;27,6;27,4;27,1;27,7;28,9;28,9;23,7;26,2;69,1;40;45;-146,2;0,0;2,50;-0,526;500;0
