;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
04.09.2024;08:58:13;27,4;27,5;27,8;27,7;27,5;27,1;27,7;28,9;28,9;23,7;26,1;69,7;40;45;-141,8;0,0;0,00;-0,523;400;0
04.09.2024;08:58:23;27,4;27,5;27,8;27,7;27,6;27,0;27,7;28,9;29,0;23,7;26,1;72,5;40;45;-139,3;0,0;9,34;-0,454;400;0
04.09.2024;08:58:33;27,4;27,4;27,8;27,6;27,6;27,0;27,7;28,9;28,8;23,7;26,1;73,4;40;45;-145,0;0,0;2,12;-0,454;400;0
04.09.2024;08:58:43;27,5;27,3;27,7;27,5;27,7;26,9;27,6;28,9;28,7;23,7;26,1;72,3;40;45;-144,9;0,0;2,51;-0,454;400;0
04.09.2024;08:58:53;27,6;27,4;27,7;27,5;27,7;26,9;27,5;28,9;28,9;23,7;26,1;72,5;40;45;-144,2;0,0;2,49;-0,454;400;0
04.09.2024;08:59:03;27,7;27,5;27,6;27,4;27,7;26,9;27,5;28,9;29,0;23,7;26,2;72,4;40;45;-147,1;0,0;2,51;-0,454;400;0
04.09.2024;08:59:13;27,7;27,6;27,5;27,4;27,8;26,9;27,4;28,9;28,8;23,7;26,2;72,6;40;45;-149,0;0,0;2,52;-0,460;400;0
04.09.2024;08:59:23;27,7;27,7;27,5;27,4;27,7;26,9;27,4;28,9;28,7;23,7;26,2;71,8;40;45;-147,6;0,0;2,52;-0,457;400;0
04.09.2024;08:59:33;27,6;27,7;27,4;27,5;27,7;27,0;27,3;28,9;28,9;23,8;26,2;72,4;40;45;-146,6;0,0;2,51;-0,454;400;0
04.09.2024;08:59:43;27,5;27,7;27,4;27,5;27,6;27,0;27,4;28,9;29,0;23,7;26,2;72,1;40;45;-141,5;0,0;2,47;-0,451;400;0
04.09.2024;08:59:53;27,4;27,6;27,3;27,6;27,6;27,1;27,5;28,8;28,7;23,7;26,2;72,1;40;45;-133,2;0,0;2,54;-0,454;400;0
04.09.2024;09:00:03;27,4;27,5;27,4;27,6;27,5;27,1;27,5;28,9;28,8;23,7;26,2;71,9;40;45;-141,3;0,0;2,52;-0,454;400;0
04.09.2024;09:00:14;27,4;27,4;27,4;27,6;27,5;27,2;27,6;29,0;29,0;23,7;26,2;72,4;40;45;-147,8;0,0;2,51;-0,457;400;0
04.09.2024;09:00:24;27,4;27,4;27,5;27,7;27,4;27,2;27,6;28,9;29,0;23,7;26,2;72,2;40;45;-146,2;0,0;2,48;-0,451;400;0
04.09.2024;09:00:34;27,5;27,3;27,6;27,7;27,4;27,2;27,7;28,8;28,7;23,7;26,2;72,5;40;45;-144,2;0,0;2,50;-0,454;400;0
04.09.2024;09:00:44;27,6;27,4;27,7;27,7;27,3;27,3;27,7;28,8;28,7;23,7;26,2;72,6;40;45;-144,6;0,0;2,51;-0,454;400;0
04.09.2024;09:00:54;27,7;27,5;27,7;27,7;27,3;27,4;27,7;28,9;28,9;23,7;26,2;72,7;40;45;-146,3;0,0;2,51;-0,454;400;0
04.09.2024;09:01:04;27,7;27,6;27,8;27,7;27,4;27,3;27,7;29,0;29,0;23,7;26,2;72,7;40;45;-146,7;0,0;2,48;-0,451;400;0
04.09.2024;09:01:14;27,7;27,7;27,8;27,6;27,4;27,3;27,7;28,9;28,8;23,7;26,2;72,3;40;45;-149,0;0,0;2,49;-0,451;400;0
04.09.2024;09:01:24;27,6;27,7;27,7;27,5;27,5;27,2;27,6;28,8;28,7;23,7;26,2;72,2;40;45;-154,4;0,0;2,49;-0,454;400;0
04.09.2024;09:01:34;27,6;27,7;27,7;27,4;27,5;27,2;27,5;28,8;28,9;23,7;26,2;72,0;40;45;-140,3;0,0;2,52;-0,454;400;0
04.09.2024;09:01:44;27,5;27,6;27,6;27,4;27,6;27,1;27,5;28,9;29,0;23,7;26,2;72,8;40;45;-146,1;0,0;2,48;-0,451;400;0
04.09.2024;09:01:54;27,4;27,5;27,6;27,4;27,6;27,1;27,4;28,9;28,8;23,7;26,2;72,4;40;45;-140,9;0,0;2,50;-0,457;400;0
04.09.2024;09:02:04;27,4;27,4;27,5;27,4;27,7;27,0;27,4;28,9;28,7;23,7;26,2;72,9;40;45;-144,1;0,0;2,50;-0,451;400;0
04.09.2024;09:02:14;27,4;27,4;27,4;27,4;27,7;27,0;27,3;28,9;28,9;23,7;26,2;72,2;40;45;-144,2;0,0;2,50;-0,454;400;0
04.09.2024;09:02:25;27,5;27,3;27,4;27,5;27,8;26,9;27,4;28,9;29,0;23,7;26,2;72,0;40;45;-145,6;0,0;2,52;-0,454;400;0
04.09.2024;09:02:35;27,5;27,4;27,3;27,6;27,7;26,9;27,5;28,9;28,8;23,7;26,2;72,5;40;45;-148,2;0,0;2,50;-0,460;400;0
04.09.2024;09:02:45;27,6;27,5;27,3;27,6;27,7;26,9;27,5;28,9;28,7;23,7;26,2;72,2;40;45;-140,3;0,0;2,51;-0,457;400;0
04.09.2024;09:02:55;27,6;27,6;27,4;27,6;27,7;26,9;27,6;28,9;28,9;23,7;26,2;72,4;40;45;-145,8;0,0;2,48;-0,454;400;0
04.09.2024;09:03:05;27,6;27,7;27,4;27,7;27,6;26,9;27,7;28,8;29,0;23,7;26,2;71,9;40;45;-142,2;0,0;2,47;-0,457;400;0
04.09.2024;09:03:15;27,6;27,8;27,5;27,7;27,6;27,0;27,7;28,9;28,9;23,7;26,2;72,1;40;45;-148,2;0,0;2,50;-0,457;400;0
