;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
28.08.2024;08:57:07;27,4;27,7;27,7;27,7;27,7;27;27,5;28,9;28,8;24,1;26,7;72,6;40;45;-191,4;0;0;-0,428;300;0
28.08.2024;08:57:17;27,4;27,7;27,6;27,7;27,6;27,1;27,4;28,9;28,8;24,1;26,8;72,7;40;45;-146,5;0;12,76;-0,431;300;0
28.08.2024;08:57:27;27,5;27,7;27,5;27,6;27,6;27,1;27,4;28,9;29;24,1;26,8;72,8;40;45;-145,3;0;4,15;-0,431;300;0
28.08.2024;08:57:37;27,6;27,7;27,5;27,5;27,5;27,2;27,4;28,9;28,9;24,1;26,8;72,6;40;45;-144,5;0;5,04;-0,428;300;0
28.08.2024;08:57:47;27,7;27,6;27,4;27,5;27,5;27,2;27,4;28,9;28,8;24,1;26,8;73,2;40;45;-147,4;0;5,01;-0,431;300;0
28.08.2024;08:57:58;27,7;27,5;27,4;27,4;27,4;27,2;27,5;28,9;28,9;24,1;26,8;72,4;40;45;-145,1;0;5,02;-0,431;300;0
28.08.2024;08:58:08;27,8;27,4;27,3;27,4;27,4;27,3;27,6;28,9;29;24,1;26,8;72,7;40;45;-145,3;0;4,98;-0,436;300;0
28.08.2024;08:58:18;27,7;27,4;27,4;27,4;27,3;27,3;27,6;28,9;28,9;24,1;26,8;72,8;40;45;-147,6;0;5,03;-0,434;300;0
28.08.2024;08:58:28;27,6;27,4;27,4;27,4;27,4;27,3;27,7;28,9;28,8;24,1;26,8;72,7;40;45;-144,5;0;4,95;-0,431;300;0
28.08.2024;08:58:38;27,5;27,5;27,5;27,5;27,4;27,3;27,7;28,9;28,9;24,1;26,8;73,2;40;45;-148,1;0;4,99;-0,431;300;0
28.08.2024;08:58:48;27,4;27,6;27,6;27,6;27,4;27,2;27,8;28,9;29;24,1;26,8;72,8;40;45;-147,1;0;4,98;-0,434;300;0
28.08.2024;08:58:58;27,4;27,6;27,7;27,6;27,5;27,2;27,7;29;28,8;24,1;26,8;74;40;45;-145,9;0;4,99;-0,434;300;0
28.08.2024;08:59:08;27,4;27,7;27,7;27,7;27,5;27,1;27,6;28,9;28,8;24;26,8;73,4;40;45;-146,3;0;5;-0,425;300;0
28.08.2024;08:59:18;27,4;27,7;27,8;27,7;27,6;27,1;27,6;28,9;28,9;24;26,9;73,2;40;45;-144,5;0;4,98;-0,431;300;0
28.08.2024;08:59:28;27,5;27,6;27,8;27,7;27,7;27;27,5;28,9;29;24;26,9;73,2;40;45;-143,2;0;4,98;-0,434;300;0
28.08.2024;08:59:38;27,7;27,6;27,7;27,7;27,7;27;27,5;28,9;28,8;24;26,8;73,2;40;45;-143,3;0;5;-0,434;300;0
28.08.2024;08:59:48;27,7;27,5;27,7;27,7;27,7;26,9;27,4;28,9;28,8;24;26,9;73;40;45;-145,6;0;4,98;-0,434;300;0
28.08.2024;08:59:59;27,7;27,4;27,6;27,6;27,8;26,9;27,4;28,9;28,9;24;26,9;73,6;40;45;-131,1;0;5,03;-0,439;300;0
28.08.2024;09:00:09;27,7;27,4;27,5;27,5;27,7;26,9;27,4;28,9;29;24;26,9;73,4;40;45;-136,4;0;5,04;-0,431;300;0
28.08.2024;09:00:19;27,7;27,4;27,5;27,4;27,7;26,9;27,4;28,9;28,9;23,9;26,9;73,3;40;45;-147,7;0;5;-0,431;300;0
28.08.2024;09:00:29;27,7;27,5;27,4;27,4;27,7;26,9;27,5;28,9;28,8;23,9;26,9;73,1;40;45;-143,4;0;5,05;-0,428;300;0
28.08.2024;09:00:39;27,7;27,6;27,4;27,3;27,6;27;27,6;28,9;28,9;24;26,9;73,6;40;45;-131,4;0;4,97;-0,431;300;0
28.08.2024;09:00:49;27,6;27,7;27,3;27,4;27,6;27;27,6;28,8;29;24;26,9;73,1;40;45;-140,4;0;5;-0,428;300;0
28.08.2024;09:00:59;27,6;27,7;27,3;27,5;27,5;27,1;27,7;28,9;28,9;24;26,9;72,7;40;45;-146,6;0;5;-0,428;300;0
28.08.2024;09:01:09;27,5;27,7;27,4;27,5;27,5;27,2;27,7;28,9;28,8;23,9;26,9;73,1;40;45;-142,4;0;5;-0,431;300;0
28.08.2024;09:01:19;27,5;27,6;27,5;27,6;27,4;27,2;27,7;28,9;28,9;24;26,9;73,1;40;45;-147,1;0;5;-0,434;300;0
28.08.2024;09:01:29;27,5;27,6;27,6;27,6;27,4;27,2;27,7;29;29;24;26,9;73,6;40;45;-144,6;0;5;-0,431;300;0
28.08.2024;09:01:39;27,5;27,5;27,7;27,7;27,3;27,3;27,7;28,9;28,9;24;26,9;72,8;40;45;-148,5;0;5,01;-0,434;300;0
28.08.2024;09:01:49;27,4;27,4;27,7;27,7;27,4;27,4;27,6;29;28,8;23,9;26,9;73,3;40;45;-145,5;0;5,04;-0,439;300;0
