;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
06.09.2024;08:57:10;24,9;24,5;24,4;23,9;24,4;24,0;24,6;23,4;23,6;23,2;24,6;90,1;50;55;-183,9;0,0;0,00;-0,561;300;0
06.09.2024;08:57:20;24,8;24,5;24,4;23,9;24,4;24,0;24,6;23,4;23,6;23,2;24,6;90,7;50;55;-141,0;0,0;5,03;-0,477;300;0
06.09.2024;08:57:30;24,8;24,5;24,4;23,9;24,4;24,0;24,6;23,4;23,6;23,2;24,6;90,8;50;55;-140,6;0,0;5,02;-0,474;300;0
06.09.2024;08:57:41;24,8;24,5;24,3;24,0;24,4;24,0;24,6;23,4;23,6;23,2;24,6;90,4;50;55;-144,8;0,0;4,97;-0,480;300;0
06.09.2024;08:57:51;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,4;23,6;23,2;24,6;91,8;50;55;-138,1;0,0;4,99;-0,474;300;0
06.09.2024;08:58:01;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,2;24,6;91,0;50;55;-143,4;0,0;5,02;-0,480;300;0
06.09.2024;08:58:11;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,2;24,6;91,2;50;55;-133,4;0,0;5,01;-0,477;300;0
06.09.2024;08:58:21;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,2;24,6;91,7;50;55;-139,8;0,0;5,03;-0,474;300;0
06.09.2024;08:58:31;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,2;24,6;91,9;50;55;-138,0;0,0;5,01;-0,477;300;0
06.09.2024;08:58:41;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,2;24,6;91,2;50;55;-141,6;0,0;5,03;-0,480;300;0
06.09.2024;08:58:51;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,1;24,6;91,4;50;55;-138,6;0,0;4,99;-0,474;300;0
06.09.2024;08:59:01;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,1;24,6;91,7;50;55;-139,5;0,0;5,01;-0,474;300;0
06.09.2024;08:59:11;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,1;24,6;91,1;50;55;-144,1;0,0;5,03;-0,480;300;0
06.09.2024;08:59:21;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,1;24,6;91,2;50;55;-139,4;0,0;4,97;-0,471;300;0
06.09.2024;08:59:31;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,1;24,6;91,7;50;55;-139,4;0,0;4,99;-0,477;300;0
06.09.2024;08:59:41;24,8;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,1;24,6;91,4;50;55;-129,9;0,0;5,03;-0,471;300;0
06.09.2024;08:59:51;24,7;24,5;24,3;23,9;24,4;24,0;24,5;23,3;23,6;23,1;24,6;92,1;50;55;-139,0;0,0;4,99;-0,471;300;0
06.09.2024;09:00:02;24,7;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;92,3;50;55;-138,8;0,0;5,03;-0,477;300;0
06.09.2024;09:00:12;24,6;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,6;91,4;50;55;-138,4;0,0;5,00;-0,477;300;0
06.09.2024;09:00:22;24,5;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,8;50;55;-140,1;0,0;5,01;-0,480;300;0
06.09.2024;09:00:32;24,5;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,6;91,5;50;55;-132,2;0,0;5,01;-0,477;300;0
06.09.2024;09:00:42;24,4;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,7;50;55;-144,9;0,0;4,97;-0,474;300;0
06.09.2024;09:00:52;24,3;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,6;50;55;-139,8;0,0;5,00;-0,474;300;0
06.09.2024;09:01:02;24,2;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,4;50;55;-140,8;0,0;5,01;-0,474;300;0
06.09.2024;09:01:12;24,2;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,6;92,2;50;55;-139,7;0,0;4,99;-0,477;300;0
06.09.2024;09:01:22;24,1;24,5;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;92,1;50;55;-144,9;0,0;5,01;-0,471;300;0
06.09.2024;09:01:32;24,0;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,6;91,0;50;55;-142,0;0,0;4,97;-0,474;300;0
06.09.2024;09:01:42;23,9;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,0;50;55;-137,2;0,0;5,04;-0,477;300;0
06.09.2024;09:01:52;23,9;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,5;50;55;-141,2;0,0;5,00;-0,468;300;0
06.09.2024;09:02:03;23,8;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,8;50;55;-140,3;0,0;5,04;-0,477;300;0
06.09.2024;09:02:13;23,7;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,8;50;55;-138,7;0,0;4,98;-0,477;300;0
06.09.2024;09:02:23;23,7;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,1;50;55;-82,3;0,0;4,99;-0,468;300;0
06.09.2024;09:02:33;23,6;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,5;50;55;-134,5;0,0;5,03;-0,477;300;0
06.09.2024;09:02:43;23,5;24,4;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,9;50;55;-135,5;0,0;4,98;-0,477;300;0
06.09.2024;09:02:53;23,5;24,3;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,6;50;55;-121,4;0,0;4,99;-0,480;300;0
06.09.2024;09:03:03;23,4;24,3;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,1;50;55;-129,1;0,0;5,01;-0,477;300;0
06.09.2024;09:03:13;23,3;24,3;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,0;24,6;92,0;50;55;-126,1;0,0;5,01;-0,480;300;0
06.09.2024;09:03:23;23,3;24,3;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,0;24,5;91,8;50;55;-136,1;0,0;4,99;-0,480;300;0
06.09.2024;09:03:33;23,2;24,3;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,0;24,5;91,4;50;55;-136,7;0,0;5,01;-0,474;300;0
06.09.2024;09:03:43;23,2;24,3;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,0;24,5;90,7;50;55;-127,2;0,0;4,97;-0,558;300;0
06.09.2024;09:03:54;23,1;24,2;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,0;24,5;90,2;50;55;-134,3;0,0;4,96;-0,564;300;0
06.09.2024;09:04:04;23,0;24,2;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,0;24,5;91,1;50;55;-138,6;0,0;4,97;-0,558;300;0
06.09.2024;09:04:14;23,0;24,2;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,0;24,5;91,2;50;55;-136,1;0,0;5,04;-0,561;300;0
06.09.2024;09:04:24;22,9;24,2;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;90,0;50;55;-109,5;0,0;4,98;-0,561;300;0
06.09.2024;09:04:34;22,9;24,1;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,1;50;55;-134,5;0,0;4,99;-0,564;300;0
06.09.2024;09:04:44;22,8;24,1;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;92,5;50;55;-124,6;0,0;4,98;-0,561;300;0
06.09.2024;09:04:54;22,8;24,1;24,3;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;91,5;50;55;-126,2;0,0;5,03;-0,552;300;0
06.09.2024;09:05:04;22,7;24,1;24,2;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;92,4;50;55;-135,9;0,0;5,00;-0,561;300;0
06.09.2024;09:05:14;22,7;24,1;24,2;23,9;24,3;24,0;24,5;23,3;23,6;23,1;24,5;90,5;50;55;-116,5;0,0;5,02;-0,558;300;0
06.09.2024;09:05:24;22,6;24,1;24,2;23,9;24,3;24,0;24,4;23,3;23,5;23,1;24,5;92,1;50;55;-136,1;0,0;4,99;-0,561;300;0
