;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
30.08.2024;11:10:33;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,0;23,3;22,2;24,3;72,8;40;45;-100,0;0,0;0,00;-0,523;500;0
30.08.2024;11:10:43;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,4;40;45;-191,9;13,7;0,00;-0,526;500;0
30.08.2024;11:10:53;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;71,7;40;45;-145,3;13,7;3,24;-0,523;500;0
30.08.2024;11:11:03;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,0;23,3;22,2;24,3;73,7;40;45;-146,6;13,7;5,12;-0,451;500;0
30.08.2024;11:11:13;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,3;40;45;-143,8;13,7;4,97;-0,448;500;0
30.08.2024;11:11:23;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,0;40;45;-148,4;13,7;5,03;-0,451;500;0
30.08.2024;11:11:33;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,0;23,3;22,2;24,3;73,8;40;45;-145,9;13,7;5,01;-0,448;500;0
30.08.2024;11:11:43;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,7;40;45;-136,8;13,7;5,01;-0,448;500;0
30.08.2024;11:11:53;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,7;40;45;-138,8;13,7;4,99;-0,448;500;0
30.08.2024;11:12:04;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,9;40;45;-147,0;13,7;5,02;-0,451;500;0
30.08.2024;11:12:14;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,0;40;45;-144,6;13,7;5,02;-0,454;500;0
30.08.2024;11:12:24;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,4;40;45;-121,0;13,7;5,00;-0,457;500;0
30.08.2024;11:12:34;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,2;40;45;-145,3;13,7;5,04;-0,451;500;0
30.08.2024;11:12:44;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,8;40;45;-145,0;13,8;5,00;-0,454;500;0
30.08.2024;11:12:54;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,7;40;45;-146,6;13,8;4,97;-0,457;500;0
30.08.2024;11:13:04;23,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,0;40;45;-139,9;13,8;4,99;-0,445;500;0
30.08.2024;11:13:14;23,5;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,4;40;45;-143,5;13,8;5,01;-0,454;500;0
30.08.2024;11:13:24;23,5;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,8;40;45;-145,5;13,8;5,05;-0,451;500;0
30.08.2024;11:13:34;23,4;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,2;40;45;-147,4;13,8;4,94;-0,454;500;0
30.08.2024;11:13:44;23,4;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,8;40;45;-131,8;13,8;4,99;-0,448;500;0
30.08.2024;11:13:55;23,3;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,2;40;45;-136,7;13,8;5,00;-0,451;500;0
30.08.2024;11:14:05;23,3;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,0;40;45;-145,3;13,8;4,99;-0,448;500;0
30.08.2024;11:14:15;23,2;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,3;40;45;-147,6;13,8;5,01;-0,451;500;0
30.08.2024;11:14:25;23,1;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,1;40;45;-145,6;13,8;5,00;-0,448;500;0
30.08.2024;11:14:35;23,0;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,7;40;45;-147,3;13,8;4,98;-0,454;500;0
30.08.2024;11:14:45;22,9;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,8;40;45;-140,9;13,8;4,97;-0,451;500;0
30.08.2024;11:14:55;22,9;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,0;40;45;-129,9;13,8;5,04;-0,451;500;0
30.08.2024;11:15:05;22,8;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,0;40;45;-130,9;13,8;4,99;-0,451;500;0
30.08.2024;11:15:15;22,7;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,1;40;45;-148,1;13,8;5,00;-0,454;500;0
30.08.2024;11:15:25;22,6;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,6;40;45;-146,2;13,8;4,98;-0,448;500;0
30.08.2024;11:15:35;22,5;23,3;23,3;23,1;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,3;40;45;-151,5;13,8;4,98;-0,448;500;0
30.08.2024;11:15:45;22,5;23,3;23,3;23,1;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,0;40;45;-68,2;13,8;4,99;-0,454;500;0
30.08.2024;11:15:55;22,4;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,8;40;45;-145,9;13,8;5,01;-0,454;500;0
30.08.2024;11:16:05;22,3;23,3;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,6;40;45;-128,3;13,8;5,02;-0,457;500;0
30.08.2024;11:16:16;22,3;23,2;23,3;23,0;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,1;40;45;-142,7;13,8;5,00;-0,451;500;0
30.08.2024;11:16:26;22,2;23,2;23,3;23,1;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,4;40;45;-134,0;13,8;5,02;-0,451;500;0
30.08.2024;11:16:36;22,1;23,1;23,3;23,1;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,3;40;45;-130,1;13,8;5,00;-0,451;500;0
30.08.2024;11:16:46;22,0;23,1;23,3;23,1;23,5;23,2;23,6;23,1;23,3;22,2;24,3;74,8;40;45;-146,3;13,8;4,99;-0,448;500;0
30.08.2024;11:16:56;22,0;23,0;23,3;23,1;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,7;40;45;-147,1;13,8;5,05;-0,454;500;0
30.08.2024;11:17:06;21,9;23,0;23,3;23,1;23,5;23,2;23,6;23,1;23,4;22,2;24,3;74,1;40;45;-139,7;13,8;5,00;-0,454;500;0
30.08.2024;11:17:16;21,9;23,0;23,3;23,1;23,5;23,2;23,6;23,1;23,4;22,2;24,3;74,3;40;45;-142,6;13,8;5,01;-0,454;500;0
30.08.2024;11:17:26;21,8;22,9;23,3;23,1;23,5;23,2;23,6;23,1;23,3;22,2;24,3;73,8;40;45;-140,3;13,8;4,99;-0,448;500;0
30.08.2024;11:17:36;21,7;22,9;23,3;23,0;23,5;23,2;23,6;23,1;23,4;22,2;24,3;74,5;40;45;-96,7;13,8;5,01;-0,451;500;0
30.08.2024;11:17:46;21,7;22,8;23,3;23,1;23,5;23,2;23,6;23,1;23,4;22,2;24,3;74,2;40;45;-144,8;13,8;4,99;-0,451;500;0
30.08.2024;11:17:56;21,6;22,8;23,3;23,1;23,5;23,2;23,6;23,1;23,4;22,2;24,3;74,6;40;45;-114,5;13,8;5,03;-0,448;500;0
30.08.2024;11:18:06;21,5;22,7;23,3;23,1;23,5;23,2;23,6;23,1;23,4;22,2;24,3;73,6;40;45;-138,1;13,8;5,01;-0,517;500;0
30.08.2024;11:18:17;21,5;22,7;23,3;23,1;23,5;23,2;23,6;23,1;23,4;22,2;24,4;70,6;40;45;-117,0;13,8;4,97;-0,520;500;0
30.08.2024;11:18:27;21,4;22,6;23,2;23,1;23,5;23,2;23,6;23,1;23,4;22,2;24,3;71,2;40;45;-143,7;13,8;5,03;-0,520;500;0
