;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
02.09.2024;09:17:44;27,3;27,2;27,2;26,9;27,0;26,4;27,0;28,8;28,8;22,7;25,4;72,2;40;45;-139,5;9,4;0,00;-0,457;200;0
02.09.2024;09:17:54;27,3;27,2;27,2;26,9;27,0;26,4;27,0;28,8;28,8;22,6;25,4;72,0;40;45;-139,7;9,4;0,00;-0,460;200;0
02.09.2024;09:18:05;27,3;27,3;27,3;26,9;27,1;26,4;27,0;28,8;28,9;22,7;25,4;71,7;40;45;-145,1;9,4;4,52;-0,457;200;0
02.09.2024;09:18:15;27,3;27,3;27,3;26,9;27,1;26,5;27,1;28,8;28,8;22,6;25,4;71,7;40;45;-144,0;9,4;5,01;-0,457;200;0
02.09.2024;09:18:25;27,4;27,3;27,4;26,9;27,1;26,5;27,1;28,8;28,8;22,7;25,4;72,1;40;45;-145,1;9,4;4,99;-0,460;200;0
02.09.2024;09:18:35;27,4;27,3;27,4;26,9;27,1;26,5;27,1;28,9;28,9;22,7;25,5;71,5;40;45;-139,8;9,4;5,00;-0,457;200;0
02.09.2024;09:18:45;27,4;27,4;27,4;26,9;27,1;26,5;27,1;28,9;28,8;22,7;25,5;71,7;40;45;-149,9;9,4;5,01;-0,457;200;0
02.09.2024;09:18:55;27,4;27,4;27,4;26,9;27,2;26,6;27,1;28,9;28,8;22,6;25,5;71,1;40;45;-140,8;9,4;4,99;-0,457;200;0
02.09.2024;09:19:05;27,4;27,4;27,5;26,9;27,2;26,6;27,1;28,9;28,8;22,7;25,5;71,7;40;45;-144,5;9,4;4,99;-0,460;200;0
02.09.2024;09:19:15;27,4;27,4;27,5;26,9;27,2;26,6;27,2;28,9;29,0;22,6;25,5;72,1;40;45;-143,5;9,4;5,03;-0,457;200;0
02.09.2024;09:19:25;27,4;27,4;27,5;26,9;27,2;26,6;27,2;28,9;28,9;22,6;25,5;72,1;40;45;-134,5;9,4;5,02;-0,457;200;0
02.09.2024;09:19:35;27,5;27,5;27,6;26,9;27,2;26,7;27,2;28,9;28,7;22,6;25,5;72,4;40;45;-138,2;9,4;4,93;-0,457;200;0
02.09.2024;09:19:45;27,5;27,4;27,6;27,0;27,2;26,7;27,2;28,9;28,8;22,6;25,5;71,6;40;45;-141,9;9,4;4,99;-0,454;200;0
02.09.2024;09:19:55;27,5;27,5;27,6;27,0;27,2;26,7;27,2;28,9;29,0;22,6;25,6;72,3;40;45;-144,5;9,4;5,04;-0,457;200;0
02.09.2024;09:20:06;27,5;27,5;27,7;27,0;27,3;26,7;27,2;28,8;28,9;22,6;25,6;71,5;40;45;-146,0;9,4;5,03;-0,454;200;0
02.09.2024;09:20:16;27,5;27,6;27,7;27,0;27,3;26,8;27,2;28,8;28,7;22,6;25,6;71,7;40;45;-142,0;9,4;5,02;-0,454;200;0
02.09.2024;09:20:26;27,5;27,6;27,8;27,0;27,3;26,8;27,2;28,9;28,9;22,6;25,6;72,1;40;45;-147,0;9,4;4,99;-0,454;200;0
02.09.2024;09:20:36;27,5;27,6;27,7;27,0;27,3;26,8;27,3;28,9;29,0;22,7;25,6;72,3;40;45;-145,9;9,4;5,03;-0,457;200;0
02.09.2024;09:20:46;27,5;27,6;27,7;27,0;27,4;26,9;27,3;28,9;28,8;22,6;25,6;71,7;40;45;-143,3;9,4;5,00;-0,457;200;0
02.09.2024;09:20:56;27,4;27,6;27,6;27,0;27,4;26,9;27,3;28,9;28,7;22,6;25,6;72,2;40;45;-145,1;9,4;4,95;-0,460;200;0
02.09.2024;09:21:06;27,4;27,7;27,4;27,1;27,4;26,9;27,3;28,9;28,8;22,6;25,6;71,4;40;45;-144,5;9,4;5,01;-0,457;200;0
02.09.2024;09:21:16;27,4;27,7;27,3;27,1;27,4;26,9;27,3;28,9;29,0;22,6;25,6;71,6;40;45;-145,6;9,4;5,00;-0,457;200;0
02.09.2024;09:21:26;27,4;27,7;27,3;27,1;27,4;26,9;27,4;28,9;28,8;22,7;25,6;71,3;40;45;-144,8;9,4;4,99;-0,457;200;0
02.09.2024;09:21:36;27,4;27,7;27,3;27,1;27,4;26,9;27,4;28,9;28,7;22,7;25,6;72,0;40;45;-143,5;9,4;5,03;-0,454;200;0
02.09.2024;09:21:46;27,4;27,7;27,3;27,1;27,5;26,9;27,4;28,8;28,8;22,7;25,6;71,6;40;45;-140,6;9,4;5,02;-0,457;200;0
02.09.2024;09:21:56;27,3;27,6;27,3;27,1;27,5;27,0;27,4;28,9;29,0;22,6;25,6;71,6;40;45;-140,4;9,4;4,99;-0,454;200;0
02.09.2024;09:22:07;27,3;27,4;27,4;27,2;27,5;27,0;27,4;28,9;28,8;22,6;25,6;71,5;40;45;-141,9;9,4;5,02;-0,454;200;0
02.09.2024;09:22:17;27,2;27,3;27,4;27,2;27,5;27,0;27,4;28,8;28,7;22,6;25,6;71,5;40;45;-147,0;9,4;4,98;-0,454;200;0
02.09.2024;09:22:27;27,2;27,4;27,4;27,2;27,5;27,0;27,5;28,8;28,9;22,6;25,6;71,0;40;45;-144,9;9,4;5,01;-0,454;200;0
02.09.2024;09:22:37;27,2;27,4;27,5;27,2;27,5;27,0;27,5;28,8;29,0;22,6;25,6;68,5;40;45;-144,1;9,4;4,99;-0,517;200;0
02.09.2024;09:22:47;27,2;27,5;27,5;27,2;27,5;27,1;27,5;28,8;28,8;22,6;25,6;68,7;40;45;-144,1;9,4;5,00;-0,523;200;0
02.09.2024;09:22:57;27,1;27,5;27,5;27,2;27,6;27,1;27,5;28,8;28,7;22,6;25,7;68,9;40;45;-140,1;9,4;5,00;-0,520;200;0
02.09.2024;09:23:07;27,1;27,5;27,6;27,2;27,6;27,1;27,5;28,8;28,9;22,6;25,6;69,6;40;45;-90,1;9,4;5,03;-0,520;200;0
02.09.2024;09:23:17;27,0;27,5;27,6;27,2;27,6;27,1;27,5;28,8;29,0;22,6;25,6;68,4;40;45;-136,9;9,4;4,95;-0,523;200;0
02.09.2024;09:23:27;27,0;27,6;27,7;27,3;27,6;27,1;27,6;28,9;28,8;22,6;25,6;69,3;40;45;-127,2;9,4;4,99;-0,517;200;0
02.09.2024;09:23:37;27,0;27,6;27,7;27,3;27,6;27,1;27,6;28,9;28,7;22,7;25,7;70,4;40;45;-134,8;9,4;5,00;-0,517;200;0
02.09.2024;09:23:47;27,0;27,6;27,7;27,3;27,7;27,1;27,6;28,9;28,9;22,7;25,7;69,3;40;45;-139,0;9,4;4,99;-0,523;200;0
02.09.2024;09:23:57;26,9;27,7;27,8;27,3;27,7;27,2;27,6;28,8;28,9;22,7;25,7;70,4;40;45;-138,4;9,4;4,99;-0,520;200;0
02.09.2024;09:24:07;26,9;27,7;27,7;27,4;27,7;27,2;27,7;28,8;28,8;22,7;25,7;68,8;40;45;-107,1;9,4;5,02;-0,520;200;0
02.09.2024;09:24:18;26,9;27,7;27,7;27,3;27,7;27,2;27,7;28,9;28,7;22,7;25,7;69,0;40;45;-115,8;9,4;5,02;-0,520;200;0
02.09.2024;09:24:28;26,8;27,7;27,6;27,4;27,7;27,2;27,7;28,9;29,0;22,7;25,7;70,5;40;45;-139,1;9,4;5,01;-0,523;200;0
02.09.2024;09:24:38;26,8;27,7;27,5;27,3;27,7;27,2;27,7;28,9;28,9;22,7;25,7;70,0;40;45;-139,2;9,4;4,99;-0,517;200;0
02.09.2024;09:24:48;26,8;27,7;27,4;27,3;27,7;27,2;27,7;28,9;28,7;22,7;25,7;69,1;40;45;-137,0;9,4;4,96;-0,520;200;0
02.09.2024;09:24:58;26,7;27,5;27,3;27,4;27,7;27,2;27,7;28,9;28,7;22,7;25,7;69,6;40;45;-139,2;9,4;4,96;-0,517;200;0
02.09.2024;09:25:08;26,7;27,4;27,3;27,4;27,7;27,2;27,7;28,8;29,0;22,7;25,7;71,7;40;45;-144,0;9,4;5,02;-0,517;200;0
02.09.2024;09:25:18;26,7;27,3;27,3;27,4;27,6;27,2;27,7;28,9;28,9;22,7;25,7;69,9;40;45;-138,0;9,4;4,99;-0,517;200;0
02.09.2024;09:25:28;26,7;27,4;27,3;27,4;27,5;27,3;27,7;28,9;28,7;22,7;25,7;70,4;40;45;-142,7;9,4;5,01;-0,523;200;0
02.09.2024;09:25:38;26,7;27,5;27,4;27,4;27,4;27,3;27,7;28,9;28,9;22,7;25,7;70,5;40;45;-142,4;9,4;5,01;-0,520;200;0
02.09.2024;09:25:48;26,7;27,5;27,4;27,4;27,4;27,3;27,7;28,9;29,0;22,7;25,7;68,6;40;45;-140,6;9,4;5,00;-0,515;200;0
