;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
28.10.2024;14:46:24;58,7;59,0;59,5;57,3;57,7;55,3;59,5;69,1;68,7;34,5;40,1;66,1;40;45;-117,3;0,0;0,00;-0,486;300;0
28.10.2024;14:46:34;58,7;59,0;59,6;57,3;57,7;55,3;59,5;69,1;68,6;34,6;40,1;65,0;40;45;-117,3;0,0;0,00;-0,483;300;0
28.10.2024;14:46:44;58,7;59,0;59,5;57,3;57,7;55,3;59,5;69,1;68,9;34,6;40,1;65,5;40;45;-117,3;0,0;0,00;-0,486;300;0
28.10.2024;14:46:54;58,7;59,0;59,5;57,3;57,7;55,3;59,5;69,1;68,7;34,7;40,1;65,3;40;45;-117,4;0,0;0,00;-0,483;300;0
28.10.2024;14:47:04;58,7;59,0;59,6;57,3;57,7;55,3;59,6;69,1;68,7;34,9;40,0;66,2;40;45;-117,3;0,0;0,00;-0,489;300;0
28.10.2024;14:47:14;58,8;59,0;59,6;57,3;57,7;55,3;59,5;69,1;68,9;34,9;40,0;65,1;40;45;-117,6;0,0;2,05;-0,486;300;0
28.10.2024;14:47:24;58,8;59,0;59,5;57,3;57,7;55,3;59,5;69,1;68,6;34,9;40,0;66,1;40;45;-109,3;0,0;4,90;-0,489;300;0
28.10.2024;14:47:34;58,7;59,0;59,6;57,3;57,7;55,3;59,5;69,0;68,8;34,9;40,0;65,9;40;45;-111,5;0,0;4,56;-0,480;300;0
28.10.2024;14:47:44;58,7;59,0;59,6;57,3;57,7;55,3;59,5;69,1;68,9;35,0;40,0;66,3;40;45;-109,9;0,0;4,81;-0,483;300;0
28.10.2024;14:47:54;58,7;59,1;59,6;57,3;57,7;55,2;59,5;69,1;68,6;35,0;40,0;66,1;40;45;-103,2;0,0;3,75;-0,486;300;0
28.10.2024;14:48:04;58,7;59,1;59,6;57,3;57,7;55,2;59,4;69,2;68,9;35,0;40,0;67,2;40;45;-111,3;0,0;5,62;-0,486;300;0
28.10.2024;14:48:14;58,7;59,1;59,5;57,3;57,7;55,2;59,4;69,1;68,9;35,0;40,0;68,1;40;45;-113,3;0,0;4,98;-0,486;300;0
28.10.2024;14:48:24;58,7;59,2;59,6;57,3;57,7;55,2;59,3;69,1;68,6;35,0;40,0;66,8;40;45;-111,3;0,0;5,08;-0,483;300;0
28.10.2024;14:48:34;58,7;59,2;59,6;57,3;57,7;55,1;59,3;69,1;68,9;35,0;39,9;66,9;40;45;-111,2;0,0;5,98;-0,483;300;0
28.10.2024;14:48:45;58,7;59,2;59,6;57,3;57,7;55,1;59,2;69,1;68,8;35,0;39,9;74,0;40;45;-108,6;0,0;7,67;-0,428;300;0
