;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
05.09.2024;13:43:58;32,7;32,8;33,4;32,5;33,1;31,6;32,7;36,7;36,7;24,5;27,7;78,9;45;50;-190,4;0,0;0,00;-0,538;300;0
05.09.2024;13:44:08;32,7;32,8;33,4;32,5;33,1;31,7;32,8;36,7;36,7;24,5;27,7;81,3;45;50;-190,5;0,0;0,00;-0,457;300;0
05.09.2024;13:44:18;32,7;32,8;33,4;32,6;33,1;31,7;32,8;36,7;36,5;24,5;27,8;80,8;45;50;-190,4;0,0;0,00;-0,457;300;0
05.09.2024;13:44:28;32,7;32,8;33,4;32,6;33,1;31,7;32,8;36,7;36,6;24,5;27,8;80,4;45;50;-141,0;0,0;5,90;-0,460;300;0
05.09.2024;13:44:38;32,7;32,8;33,4;32,6;33,2;31,8;32,8;36,7;36,7;24,5;27,8;80,9;45;50;-143,1;0,0;4,92;-0,460;300;0
05.09.2024;13:44:49;32,7;32,9;33,4;32,6;33,2;31,8;32,9;36,7;36,6;24,5;27,8;80,4;45;50;-143,9;0,0;5,03;-0,460;300;0
05.09.2024;13:44:59;32,7;32,9;33,4;32,6;33,2;31,8;32,8;36,7;36,5;24,5;27,9;80,2;45;50;-141,9;0,0;5,00;-0,460;300;0
05.09.2024;13:45:09;32,8;32,9;33,4;32,7;33,2;31,8;32,8;36,7;36,6;24,5;27,9;80,5;45;50;-141,3;0,0;5,00;-0,462;300;0
05.09.2024;13:45:19;32,8;32,9;33,4;32,7;33,3;31,9;32,8;36,7;36,7;24,5;27,9;80,3;45;50;-140,8;0,0;4,98;-0,457;300;0
05.09.2024;13:45:29;32,7;32,9;33,4;32,7;33,3;31,9;32,8;36,7;36,5;24,5;27,9;80,3;45;50;-141,1;0,0;5,01;-0,457;300;0
05.09.2024;13:45:39;32,7;32,9;33,4;32,7;33,3;32,0;32,8;36,7;36,5;24,5;27,9;80,7;45;50;-138,0;0,0;5,02;-0,457;300;0
05.09.2024;13:45:49;32,8;33,0;33,4;32,8;33,3;32,0;32,8;36,7;36,7;24,5;27,9;80,9;45;50;-142,6;0,0;5,01;-0,457;300;0
05.09.2024;13:45:59;32,8;33,0;33,4;32,8;33,3;32,1;32,7;36,7;36,6;24,5;27,9;80,9;45;50;-139,9;0,0;4,99;-0,457;300;0
05.09.2024;13:46:09;32,8;33,0;33,4;32,8;33,4;32,1;32,7;36,7;36,5;24,5;27,9;80,5;45;50;-114,8;0,0;4,98;-0,457;300;0
05.09.2024;13:46:19;32,8;33,0;33,4;32,9;33,4;32,1;32,7;36,7;36,6;24,5;28,0;80,4;45;50;-142,7;0,0;4,98;-0,460;300;0
05.09.2024;13:46:29;32,8;32,9;33,4;32,8;33,3;32,2;32,7;36,7;36,7;24,5;28,0;81,1;45;50;-142,9;0,0;5,00;-0,454;300;0
05.09.2024;13:46:39;32,8;33,0;33,4;32,8;33,4;32,2;32,7;36,7;36,6;24,5;28,0;80,4;45;50;-144,1;0,0;5,03;-0,460;300;0
05.09.2024;13:46:49;32,7;33,0;33,4;32,8;33,3;32,2;32,7;36,7;36,5;24,5;28,0;80,7;45;50;-136,9;0,0;4,98;-0,457;300;0
05.09.2024;13:46:59;32,7;33,0;33,4;32,8;33,3;32,2;32,7;36,8;36,6;24,5;28,0;80,6;45;50;-135,9;0,0;4,99;-0,457;300;0
05.09.2024;13:47:09;32,7;33,0;33,4;32,8;33,4;32,2;32,7;36,7;36,7;24,5;28,0;80,5;45;50;-144,2;0,0;5,05;-0,454;300;0
05.09.2024;13:47:20;32,6;33,0;33,4;32,7;33,3;32,2;32,7;36,7;36,6;24,5;28,0;80,6;45;50;-141,7;0,0;5,02;-0,460;300;0
05.09.2024;13:47:30;32,5;33,0;33,4;32,7;33,3;32,2;32,7;36,7;36,5;24,5;28,0;80,7;45;50;-144,6;0,0;5,00;-0,457;300;0
05.09.2024;13:47:40;32,4;33,0;33,4;32,7;33,4;32,2;32,7;36,7;36,7;24,5;28,0;81,1;45;50;-143,5;0,0;5,00;-0,454;300;0
05.09.2024;13:47:50;32,4;33,1;33,4;32,7;33,4;32,2;32,7;36,7;36,7;24,5;28,0;80,3;45;50;-136,2;0,0;4,99;-0,454;300;0
