;;T1;T2;T3;T4;T5;T6;T7;T8p1;T8p2;TAbluft;TZuluft;Volumenstrom;Zuluft;Abluft;Foliendicke;Fuellstand;Geschwindigkeit;Innendruck;Rakelhoehe;Ventilstellung
02.09.2024;14:07:50;27,6;27,4;27,7;27,4;27,3;27,3;27,5;28,9;28,7;23,4;26,1;70,8;40;45;-186,7;0,0;0,00;-0,448;400;0
02.09.2024;14:08:00;27,7;27,4;27,7;27,4;27,4;27,3;27,4;28,9;28,8;23,4;26,1;71,4;40;45;-141,5;0,0;2,80;-0,451;400;0
02.09.2024;14:08:10;27,7;27,5;27,6;27,4;27,4;27,2;27,4;28,9;29,0;23,4;26,1;71,0;40;45;-146,3;0,0;5,13;-0,448;400;0
02.09.2024;14:08:20;27,7;27,6;27,5;27,4;27,4;27,2;27,4;28,9;28,9;23,4;26,1;71,0;40;45;-145,3;0,0;5,02;-0,445;400;0
02.09.2024;14:08:30;27,7;27,7;27,4;27,5;27,5;27,1;27,4;28,9;28,7;23,4;26,1;71,7;40;45;-143,5;0,0;5,00;-0,448;400;0
02.09.2024;14:08:40;27,6;27,7;27,4;27,5;27,5;27,1;27,5;28,9;28,8;23,4;26,1;71,3;40;45;-137,6;0,0;4,95;-0,448;400;0
02.09.2024;14:08:50;27,5;27,7;27,3;27,6;27,6;27,0;27,6;28,9;29,0;23,4;26,1;71,0;40;45;-141,4;0,0;5,01;-0,451;400;0
02.09.2024;14:09:00;27,4;27,6;27,3;27,6;27,6;27,0;27,6;28,9;28,9;23,4;26,1;71,8;40;45;-144,0;0,0;5,03;-0,454;400;0
02.09.2024;14:09:10;27,4;27,5;27,4;27,6;27,7;26,9;27,6;28,9;28,7;23,4;26,1;71,5;40;45;-139,9;0,0;4,97;-0,448;400;0
02.09.2024;14:09:20;27,4;27,5;27,4;27,7;27,7;26,9;27,7;28,9;29,0;23,4;26,1;71,5;40;45;-144,4;0,0;5,04;-0,454;400;0
02.09.2024;14:09:30;27,4;27,4;27,5;27,7;27,7;26,8;27,7;28,8;29,0;23,4;26,1;71,3;40;45;-140,5;0,0;5,03;-0,451;400;0
02.09.2024;14:09:40;27,5;27,3;27,6;27,7;27,7;26,9;27,7;28,9;28,8;23,4;26,1;72,5;40;45;-143,7;0,0;5,03;-0,448;400;0
02.09.2024;14:09:51;27,6;27,4;27,6;27,8;27,7;26,9;27,7;28,9;28,7;23,4;26,1;72,0;40;45;-144,2;0,0;4,99;-0,448;400;0
02.09.2024;14:10:01;27,7;27,5;27,7;27,7;27,7;27,0;27,7;28,9;28,9;23,4;26,1;72,0;40;45;-144,1;0,0;5,02;-0,451;400;0
02.09.2024;14:10:11;27,7;27,6;27,8;27,6;27,6;27,0;27,6;28,9;29,0;23,4;26,1;71,3;40;45;-145,7;0,0;5,00;-0,451;400;0
02.09.2024;14:10:21;27,7;27,7;27,8;27,5;27,6;27,1;27,5;28,9;28,7;23,4;26,1;71,7;40;45;-141,4;0,0;5,04;-0,448;400;0
02.09.2024;14:10:31;27,7;27,7;27,7;27,4;27,5;27,2;27,4;28,9;28,7;23,4;26,1;71,0;40;45;-144,0;0,0;5,00;-0,448;400;0
02.09.2024;14:10:41;27,7;27,7;27,7;27,4;27,4;27,2;27,4;28,9;29,0;23,4;26,1;71,8;40;45;-143,7;0,0;4,99;-0,454;400;0
02.09.2024;14:10:51;27,7;27,6;27,6;27,3;27,4;27,2;27,4;28,9;29,0;23,4;26,1;70,9;40;45;-143,7;0,0;4,99;-0,448;400;0
02.09.2024;14:11:01;27,6;27,5;27,6;27,4;27,4;27,3;27,4;28,8;28,7;23,4;26,1;72,1;40;45;-134,8;0,0;4,98;-0,448;400;0
02.09.2024;14:11:11;27,6;27,4;27,5;27,4;27,3;27,3;27,4;28,9;28,8;23,4;26,1;72,2;40;45;-145,5;0,0;4,99;-0,445;400;0
02.09.2024;14:11:21;27,5;27,4;27,4;27,4;27,4;27,3;27,5;28,9;29,0;23,4;26,1;71,3;40;45;-144,1;0,0;4,99;-0,448;400;0
02.09.2024;14:11:31;27,5;27,4;27,4;27,5;27,4;27,3;27,5;28,9;28,9;23,4;26,1;72,1;40;45;-143,0;0,0;4,98;-0,445;400;0
02.09.2024;14:11:41;27,4;27,4;27,3;27,5;27,4;27,2;27,6;28,9;28,7;23,4;26,1;71,4;40;45;-144,1;0,0;4,99;-0,442;400;0
02.09.2024;14:11:52;27,4;27,5;27,4;27,6;27,5;27,2;27,6;28,9;28,8;23,4;26,1;72,0;40;45;-145,5;0,0;5,02;-0,445;400;0
02.09.2024;14:12:02;27,3;27,6;27,4;27,7;27,5;27,2;27,7;28,9;29,0;23,3;26,1;72,3;40;45;-141,0;0,0;4,98;-0,448;400;0
02.09.2024;14:12:12;27,3;27,7;27,5;27,7;27,6;27,1;27,7;28,9;28,9;23,4;26,1;71,5;40;45;-146,3;0,0;4,99;-0,451;400;0
02.09.2024;14:12:22;27,2;27,7;27,6;27,7;27,6;27,0;27,7;28,9;28,7;23,4;26,1;72,1;40;45;-147,3;0,0;4,99;-0,448;400;0
02.09.2024;14:12:32;27,2;27,7;27,7;27,7;27,7;27,0;27,7;28,9;28,9;23,3;26,1;71,8;40;45;-144,8;0,0;4,97;-0,451;400;0
02.09.2024;14:12:42;27,1;27,6;27,7;27,7;27,7;26,9;27,7;28,8;29,0;23,2;26,1;71,1;40;45;-143,5;0,0;5,00;-0,457;400;0
02.09.2024;14:12:52;27,0;27,5;27,8;27,7;27,7;26,9;27,6;28,8;28,8;23,3;26,1;71,5;40;45;-144,8;0,0;4,99;-0,451;400;0
02.09.2024;14:13:02;26,9;27,4;27,8;27,6;27,7;26,9;27,5;28,9;28,7;23,2;26,1;71,7;40;45;-90,1;0,0;4,98;-0,448;400;0
02.09.2024;14:13:12;26,9;27,4;27,7;27,5;27,7;26,9;27,4;29,0;29,0;23,2;26,1;72,1;40;45;-137,2;0,0;5,06;-0,448;400;0
02.09.2024;14:13:22;26,8;27,4;27,7;27,4;27,7;26,9;27,4;28,9;28,9;23,2;26,1;71,4;40;45;-140,1;0,0;5,00;-0,448;400;0
02.09.2024;14:13:32;26,8;27,4;27,6;27,4;27,6;27,0;27,4;28,9;28,7;23,2;26,1;71,4;40;45;-142,4;0,0;5,01;-0,445;400;0
02.09.2024;14:13:42;26,8;27,5;27,5;27,4;27,5;27,0;27,4;28,9;28,8;23,2;26,1;71,6;40;45;-140,2;0,0;5,00;-0,448;400;0
02.09.2024;14:13:53;26,7;27,5;27,5;27,4;27,5;27,1;27,4;28,9;29,0;23,2;26,1;71,1;40;45;-133,6;0,0;5,02;-0,451;400;0
02.09.2024;14:14:03;26,7;27,6;27,4;27,5;27,4;27,1;27,5;28,9;28,8;23,2;26,1;72,1;40;45;-141,6;0,0;4,99;-0,448;400;0
02.09.2024;14:14:13;26,6;27,6;27,3;27,5;27,4;27,2;27,6;28,9;28,7;23,2;26,1;71,0;40;45;-144,1;0,0;5,04;-0,451;400;0
02.09.2024;14:14:23;26,6;27,6;27,3;27,5;27,4;27,2;27,6;28,9;28,9;23,2;26,1;71,6;40;45;-131,6;0,0;4,99;-0,448;400;0
02.09.2024;14:14:33;26,6;27,6;27,4;27,6;27,4;27,3;27,7;28,9;29,0;23,2;26,1;71,6;40;45;-134,1;0,0;5,00;-0,445;400;0
02.09.2024;14:14:43;26,5;27,6;27,4;27,7;27,4;27,3;27,7;28,9;28,9;23,2;26,1;72,1;40;45;-141,4;0,0;4,99;-0,448;400;0
02.09.2024;14:14:53;26,5;27,6;27,5;27,7;27,4;27,3;27,8;28,9;28,7;23,2;26,1;72,7;40;45;-139,7;0,0;5,03;-0,448;400;0
02.09.2024;14:15:03;26,4;27,6;27,5;27,7;27,5;27,3;27,7;28,9;28,9;23,2;26,1;68,6;40;45;-142,2;0,0;4,99;-0,512;400;0
02.09.2024;14:15:13;26,4;27,6;27,6;27,7;27,5;27,3;27,6;28,9;29,0;23,2;26,1;68,9;40;45;-141,5;0,0;5,01;-0,506;400;0
02.09.2024;14:15:23;26,4;27,6;27,7;27,7;27,6;27,2;27,5;28,9;28,8;23,3;26,1;68,5;40;45;-136,1;0,0;5,02;-0,509;400;0
02.09.2024;14:15:33;26,4;27,6;27,7;27,6;27,6;27,2;27,5;28,8;28,7;23,4;26,1;70,7;40;45;-138,3;0,0;5,05;-0,512;400;0
02.09.2024;14:15:43;26,3;27,6;27,8;27,6;27,7;27,1;27,4;28,9;28,9;23,4;26,1;69,4;40;45;-128,1;0,0;5,01;-0,509;400;0
02.09.2024;14:15:53;26,3;27,6;27,7;27,5;27,7;27,0;27,4;28,9;29,0;23,4;26,1;69,3;40;45;-142,9;0,0;4,97;-0,517;400;0
02.09.2024;14:16:03;26,2;27,6;27,7;27,4;27,7;27,0;27,4;28,9;28,8;23,4;26,1;69,3;40;45;-142,2;0,0;5,00;-0,509;400;0
02.09.2024;14:16:14;26,2;27,6;27,6;27,4;27,8;26,9;27,4;28,9;28,7;23,4;26,1;69,1;40;45;-140,6;0,0;5,01;-0,512;400;0
02.09.2024;14:16:24;26,2;27,6;27,5;27,4;27,7;26,9;27,5;29,0;28,9;23,4;26,1;70,0;40;45;-145,2;0,0;4,98;-0,515;400;0
02.09.2024;14:16:34;26,2;27,6;27,4;27,4;27,7;26,8;27,5;28,9;29,0;23,4;26,1;69,1;40;45;-133,9;0,0;5,03;-0,517;400;0
02.09.2024;14:16:44;26,1;27,6;27,4;27,4;27,7;26,9;27,6;28,9;28,8;23,4;26,1;70,3;40;45;-140,9;0,0;4,98;-0,517;400;0
02.09.2024;14:16:54;26,1;27,6;27,3;27,5;27,6;26,9;27,6;28,8;28,7;23,4;26,0;70,0;40;45;-143,8;0,0;5,00;-0,517;400;0
02.09.2024;14:17:04;26,1;27,6;27,3;27,5;27,5;27,0;27,7;28,9;28,9;23,4;26,0;69,7;40;45;-138,8;0,0;5,04;-0,512;400;0
02.09.2024;14:17:14;26,0;27,6;27,3;27,5;27,5;27,0;27,7;28,9;29,0;23,4;26,0;68,8;40;45;-125,9;0,0;5,01;-0,520;400;0
02.09.2024;14:17:24;26,0;27,6;27,4;27,6;27,4;27,0;27,7;28,9;28,8;23,4;26,0;69,4;40;45;-141,1;0,0;5,02;-0,509;400;0
02.09.2024;14:17:34;26,0;27,6;27,4;27,6;27,4;27,1;27,7;28,9;28,7;23,4;26,0;70,0;40;45;-143,5;0,0;4,99;-0,509;400;0
